ppn,,4,4,4,4,8,8,8,8
nodes,,4,8,16,32,4,8,16,32
90%,solver duration (s),0.9,1.1,2.3,5.8,1.0,1.1,1.8,—
90%,Δ cpu util (%),2.7,3.1,3.3,3.9,1.7,0.8,0.6,—
90%,Δ mem util (%),2.5,3.3,3.0,3.9,1.6,0.9,0.6,—
95%,solver duration (s),0.9,1.7,5.0,9.8,1.0,1.5,3.9,10.1
95%,Δ cpu util (%),2.4,3.3,3.6,4.3,2.4,2.7,2.5,0.2
95%,Δ mem util (%),2.4,3.3,3.7,4.3,2.4,2.7,2.5,0.2
100%,solver duration (s),0.9,1.7,5.2,10.1,1.0,5.0,10.3,10.9
100%,Δ cpu util (%),2.5,2.8,3.2,3.2,1.8,3.3,3.4,2.5
100%,Δ mem util (%),2.1,2.5,3.0,3.3,2.1,3.1,3.1,2.4
105%,solver duration (s),0.9,1.6,6.0,10.2,1.2,6.2,10.3,11.0
105%,Δ cpu util (%),2.1,2.6,3.2,1.9,2.5,2.3,2.6,0.6
105%,Δ mem util (%),1.8,2.1,2.9,2.1,2.4,2.8,2.5,0.5
