util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
90.0,4,16,4,1,1,nodes4_pods16_prio1_util090_timeout01,100,77,23,0.2300,77,0.7700,3,0.0300,0,0.0000,72,0.7200,2,0.0200,74,0.7400,0,0.0000,74149.0,975.6447,6.33,7.07,0.0822,0.0918
90.0,4,16,4,1,10,nodes4_pods16_prio1_util090_timeout10,100,77,23,0.2300,77,0.7700,1,0.0100,1,0.0100,74,0.7400,1,0.0100,75,0.7500,0,0.0000,72151.0,937.026,6.397,6.977,0.0831,0.0906
90.0,4,16,4,1,20,nodes4_pods16_prio1_util090_timeout20,100,77,23,0.2300,77,0.7700,1,0.0100,1,0.0100,74,0.7400,1,0.0100,75,0.7500,0,0.0000,83620.0,1085.974,6.314,7.098,0.082,0.0922
90.0,4,16,4,2,1,nodes4_pods16_prio2_util090_timeout01,100,76,24,0.2400,76,0.7600,3,0.0300,23,0.2300,49,0.4900,1,0.0100,50,0.5000,0,0.0000,63640.0,848.5333,3.793,4.097,0.0499,0.0539
90.0,4,16,4,2,10,nodes4_pods16_prio2_util090_timeout10,100,76,24,0.2400,76,0.7600,2,0.0200,23,0.2300,51,0.5100,0,0.0000,51,0.5100,0,0.0000,73927.0,972.7237,3.765,4.024,0.0495,0.0529
90.0,4,16,4,2,20,nodes4_pods16_prio2_util090_timeout20,100,77,23,0.2300,77,0.7700,0,0.0000,26,0.2600,51,0.5100,0,0.0000,51,0.5100,0,0.0000,73166.0,950.2078,3.841,4.151,0.0499,0.0539
90.0,4,16,4,4,1,nodes4_pods16_prio4_util090_timeout01,100,77,23,0.2300,77,0.7700,1,0.0100,48,0.4800,28,0.2800,0,0.0000,28,0.2800,0,0.0000,65717.0,853.4675,2.08,1.955,0.027,0.0254
90.0,4,16,4,4,10,nodes4_pods16_prio4_util090_timeout10,100,77,23,0.2300,77,0.7700,1,0.0100,48,0.4800,28,0.2800,0,0.0000,28,0.2800,0,0.0000,66458.0,863.0909,2.052,1.934,0.0266,0.0251
90.0,4,16,4,4,20,nodes4_pods16_prio4_util090_timeout20,100,77,23,0.2300,77,0.7700,1,0.0100,48,0.4800,28,0.2800,0,0.0000,28,0.2800,0,0.0000,66214.0,859.9221,2.078,1.876,0.027,0.0244
90.0,4,32,8,1,1,nodes4_pods32_prio1_util090_timeout01,100,20,80,0.8000,20,0.2000,0,0.0000,1,0.0100,19,0.1900,0,0.0000,19,0.1900,0,0.0000,16772.0,838.6,0.725,0.784,0.0363,0.0392
