id,cpu_request,mem_request,inter_arrival_us,life_time_us
instance_7284,96.0,480.0,0,2368000000
instance_7286,192.0,937.5,60999999,3138000000
instance_7281,64.0,320.0,74000000,91120000000
instance_7288,64.0,320.0,77000000,4353000000
instance_7289,64.0,320.0,49000000,136782000000
instance_7290,64.0,320.0,2000000,6252000000
instance_7291,64.0,320.0,0,17446000000
instance_7293,96.0,480.0,902000000,141063000000
instance_7294,96.0,480.0,777000000,558944000000
instance_7295,96.0,480.0,1000000,1606117000000
instance_7297,96.0,480.0,1019000000,14801000000
instance_7299,48.0,200.0,398000000,953999999
instance_7300,12.0,120.0,138000000,1673999999
instance_7301,12.0,120.0,1000000,1683999999
instance_7302,12.0,120.0,38000000,1952999999
instance_7303,64.0,320.0,262999999,20785000000
instance_7304,64.0,320.0,0,1794064000000
instance_7305,64.0,320.0,0,2207173000000
instance_7306,64.0,320.0,0,288820000000
instance_7308,8.0,40.0,548000000,11488000000
instance_7296,192.0,960.0,864000000,126000000
instance_7309,64.0,320.0,535000000,6521000000
instance_7310,64.0,320.0,0,44770000000
instance_7311,64.0,320.0,0,211149000000
instance_7312,64.0,320.0,0,818745000000
instance_7314,64.0,320.0,1313000000,43007000000
instance_7316,64.0,320.0,629000000,17525000000
instance_7317,64.0,320.0,342999999,358824000000
instance_7318,64.0,320.0,467000000,57543000000
instance_7319,8.0,40.0,150000000,3596000000
instance_7320,8.0,40.0,0,14287000000
instance_7315,192.0,960.0,299000000,131000000
instance_7321,48.0,240.0,211000000,295257000000
instance_7323,64.0,320.0,2047000000,117706000000
instance_7324,8.0,40.0,1412000000,3586000000
instance_7325,64.0,320.0,448000000,126000000
instance_7328,12.0,40.0,2305000000,321652000000
instance_7329,8.0,40.0,1000000,321524000000
instance_7330,192.0,960.0,200000000,1389846000000
instance_7331,192.0,937.5,239000000,49138000000
instance_7332,192.0,960.0,0,472674000000
instance_7333,96.0,480.0,893999999,22881000000
instance_7334,64.0,320.0,0,67860000000
instance_7335,64.0,320.0,0,1247672000000
instance_7336,64.0,320.0,0,29412000000
instance_7337,96.0,480.0,0,100145000000
instance_7338,64.0,320.0,455000000,4424000000
instance_7339,48.0,240.0,1000000,4556000000
instance_7340,96.0,480.0,451000000,5181000000
instance_7342,64.0,320.0,2860000000,2219793000000
instance_7343,64.0,320.0,300000000,3774000000
instance_7345,64.0,320.0,661000000,1776431000000
instance_7346,96.0,480.0,299000000,4611000000
instance_7348,64.0,320.0,630000000,83115000000
instance_7350,64.0,320.0,1456000000,7489000000
